dept_no,dept_name,emp_no,first_name,last_name,to_date
d007,Sales,94210,Ekawit,Pouyioutas,1985-12-22
d007,Sales,94210,Ekawit,Pouyioutas,1985-12-22
d007,Sales,424570,Gil,Klyachko,1986-04-11
d007,Sales,424570,Gil,Klyachko,1986-04-11
d007,Sales,239782,Indrajit,Shackel,1986-04-18
d007,Sales,239782,Indrajit,Shackel,1986-04-18
d007,Sales,109747,Tadahiko,Rullman,1986-04-27
d007,Sales,109747,Tadahiko,Rullman,1986-04-27
d007,Sales,276455,Remko,Awdeh,1986-06-27
d007,Sales,276455,Remko,Awdeh,1986-06-27
d007,Sales,89825,Ingmar,Isard,1986-08-13
d007,Sales,89825,Ingmar,Isard,1986-08-13
d007,Sales,483136,Marjo,Perko,1986-08-25
d007,Sales,483136,Marjo,Perko,1986-08-25
d007,Sales,224824,Leaf,Zedlitz,1986-12-09
d007,Sales,224824,Leaf,Zedlitz,1986-12-09
d007,Sales,48757,Stella,Gecseg,1987-05-23
d007,Sales,48757,Stella,Gecseg,1987-05-23
d007,Sales,79463,Mizuhito,Hennebert,1987-06-01
d007,Sales,79463,Mizuhito,Hennebert,1987-06-01
d007,Sales,282251,Anoosh,Valtorta,1987-06-06
d007,Sales,282251,Anoosh,Valtorta,1987-06-06
d007,Sales,485798,Barun,Georgakopoulos,1987-06-09
d007,Sales,485798,Barun,Georgakopoulos,1987-06-09
d007,Sales,71057,Christfried,Orsini,1987-06-23
d007,Sales,71057,Christfried,Orsini,1987-06-23
d007,Sales,252924,Kazuhisa,Bazzichi,1987-06-24
d007,Sales,252924,Kazuhisa,Bazzichi,1987-06-24
d007,Sales,446370,Bedrich,Sewelson,1987-07-01
d007,Sales,446370,Bedrich,Sewelson,1987-07-01
d007,Sales,95883,Eirik,Koshiba,1987-07-05
d007,Sales,95883,Eirik,Koshiba,1987-07-05
d007,Sales,243184,Hilari,Zongker,1987-07-09
d007,Sales,243184,Hilari,Zongker,1987-07-09
d007,Sales,101098,Maya,Norsworthy,1987-07-23
d007,Sales,101098,Maya,Norsworthy,1987-07-23
d007,Sales,412289,Golgen,Lorcy,1987-08-21
d007,Sales,412289,Golgen,Lorcy,1987-08-21
d007,Sales,269705,Kensyu,Soloway,1987-10-05
d007,Sales,269705,Kensyu,Soloway,1987-10-05
d007,Sales,219839,Sugwoo,Swiler,1987-10-11
d007,Sales,219839,Sugwoo,Swiler,1987-10-11
d007,Sales,461812,Kristine,Kaiser,1987-10-27
d007,Sales,461812,Kristine,Kaiser,1987-10-27
d007,Sales,444447,Chuanti,Leuchs,1987-11-20
d007,Sales,444447,Chuanti,Leuchs,1987-11-20
d007,Sales,270486,Randy,Schwabacher,1988-03-09
d007,Sales,270486,Randy,Schwabacher,1988-03-09
d007,Sales,79910,Gad,Honglei,1988-04-01
d007,Sales,79910,Gad,Honglei,1988-04-01
d007,Sales,481537,Yucai,Munch,1988-05-05
d007,Sales,481537,Yucai,Munch,1988-05-05
d007,Sales,204679,Masaru,Marchegay,1988-08-28
d007,Sales,204679,Masaru,Marchegay,1988-08-28
d007,Sales,103042,Berthier,Masand,1988-09-13
d007,Sales,103042,Berthier,Masand,1988-09-13
d007,Sales,425220,Xiadong,Anger,1988-09-21
d007,Sales,425220,Xiadong,Anger,1988-09-21
d007,Sales,486562,Radoslaw,Angelopoulos,1988-09-24
d007,Sales,486562,Radoslaw,Angelopoulos,1988-09-24
d007,Sales,254925,Sukumar,Kobara,1988-10-06
d007,Sales,254925,Sukumar,Kobara,1988-10-06
d007,Sales,465681,Stevo,Peral,1988-10-11
d007,Sales,465681,Stevo,Peral,1988-10-11
d007,Sales,21683,Jiang,Velasco,1988-10-13
d007,Sales,21683,Jiang,Velasco,1988-10-13
